date,rainfall_mm,source
2025-09-01,12.4,SIMULATED
2025-09-02,18.7,SIMULATED
2025-09-03,42.1,SIMULATED
2025-09-04,67.3,SIMULATED
2025-09-05,35.8,SIMULATED
2025-09-06,9.2,SIMULATED
2025-09-07,14.6,SIMULATED
2025-09-08,28.5,SIMULATED
2025-09-09,51.2,SIMULATED
2025-09-10,73.6,SIMULATED
2025-09-11,44.9,SIMULATED
2025-09-12,21.3,SIMULATED
2025-09-13,8.7,SIMULATED
2025-09-14,16.5,SIMULATED
2025-09-15,31.8,SIMULATED
2025-09-16,56.4,SIMULATED
2025-09-17,82.1,SIMULATED
2025-09-18,39.7,SIMULATED
2025-09-19,24.6,SIMULATED
2025-09-20,11.8,SIMULATED
2025-09-21,19.4,SIMULATED
2025-09-22,47.2,SIMULATED
2025-09-23,68.5,SIMULATED
2025-09-24,34.1,SIMULATED
2025-09-25,15.7,SIMULATED
2025-09-26,27.9,SIMULATED
2025-09-27,59.3,SIMULATED
2025-09-28,76.8,SIMULATED
2025-09-29,41.5,SIMULATED
2025-09-30,22.7,SIMULATED
