date,rainfall_mm,s1_mm,s2_mm,s3_mm,swi_mm,source
2025-09-01,12.4,8.06,3.689,0.618,12.367,SIMULATED
2025-09-02,18.7,17.394,11.097,2.448,30.939,SIMULATED
2025-09-03,42.1,38.671,27.132,6.874,72.677,SIMULATED
2025-09-04,67.3,68.881,54.588,15.682,139.151,SIMULATED
2025-09-05,35.8,68.043,77.543,27.898,173.483,SIMULATED
2025-09-06,9.2,50.208,88.891,41.405,180.504,SIMULATED
2025-09-07,14.6,42.125,94.838,55.234,192.197,SIMULATED
2025-09-08,28.5,45.906,101.623,69.509,217.039,SIMULATED
2025-09-09,51.2,63.119,115.269,85.358,263.746,SIMULATED
2025-09-10,73.6,88.867,138.652,104.335,331.855,SIMULATED
2025-09-11,44.9,86.949,157.65,125.548,370.147,SIMULATED
2025-09-12,21.3,70.362,166.207,147.134,383.703,SIMULATED
2025-09-13,8.7,51.39,164.797,167.405,383.592,SIMULATED
2025-09-14,16.5,44.129,160.274,185.905,390.308,SIMULATED
2025-09-15,31.8,49.354,158.822,203.235,411.411,SIMULATED
2025-09-16,56.4,68.74,166.46,220.98,456.181,SIMULATED
2025-09-17,82.1,98.046,186.366,241.175,525.587,SIMULATED
2025-09-18,39.7,89.535,199.391,262.544,551.469,SIMULATED
2025-09-19,24.6,74.188,203.437,283.522,561.147,SIMULATED
2025-09-20,11.8,55.892,198.503,302.624,557.019,SIMULATED
2025-09-21,19.4,48.94,191.127,319.535,559.602,SIMULATED
2025-09-22,47.2,62.491,191.059,335.589,589.139,SIMULATED
2025-09-23,68.5,85.144,201.37,352.568,639.083,SIMULATED
2025-09-24,34.1,77.509,206.64,369.583,653.731,SIMULATED
2025-09-25,15.7,60.586,203.373,385.198,649.157,SIMULATED
2025-09-26,27.9,57.516,199.192,399.332,656.04,SIMULATED
2025-09-27,59.3,75.93,204.066,413.577,693.573,SIMULATED
2025-09-28,76.8,99.275,218.893,429.595,747.763,SIMULATED
2025-09-29,41.5,91.503,227.94,446.328,765.772,SIMULATED
2025-09-30,22.7,74.232,227.724,462.189,764.146,SIMULATED
